group,random,direct 0,channel 0,channel 0 GPT-J,direct multi-0,channel multi-0,SL-(S)-meta,SL-(S)-meta-ens,SL-(S)-meta-wens,SL-reg-(S)-meta,SL-reg-(S)-meta-ens,SL-reg-(S)-meta-wens,adapter-(S)-meta,SL-(M)-meta,SL-(M)-meta-ens,SL-(M)-meta-wens,SL-reg-(M)-meta,SL-reg-(M)-meta-ens,SL-reg-(M)-meta-wens,adapter-(M)-meta,SL,SL-ens,SL-wens,SL-meta,SL-meta-ens,SL-meta-wens,SL-reg,SL-reg-ens,SL-reg-wens,SL-reg-meta,SL-reg-meta-ens,SL-reg-meta-wens,adapter,adapter-meta,direct ICL,channel ICL,channel ICL GPT-J,direct MetaICL,channel MetaICL
b=5.2,37.3,40.4,46.4,41.4,34.2,43.9,45.8,42.0,39.6,46.1,41.1,39.3,44.7,44.3,40.6,39.3,43.4,40.9,37.9,46.9,44.4,42.7,43.2,49.0,43.5,46.7,45.8,43.6,37.2,48.1,45.8,42.6,44.4,50.3,39.6,46.4,47.4,38.3,51.0
b=2.6,37.6,39.8,44.3,41.4,34.7,43.9,45.6,42.0,39.7,45.8,41.1,39.3,44.7,44.4,40.9,39.8,43.8,41.6,38.3,46.8,44.3,42.4,43.0,48.7,43.3,46.1,45.5,43.3,36.9,48.0,45.5,42.3,44.4,49.7,39.2,45.4,47.3,38.4,50.3
b=1.3,38.1,38.4,39.7,40.0,36.4,42.4,45.0,42.1,40.4,45.3,41.7,39.8,44.1,45.1,42.3,41.7,45.1,43.6,40.1,46.3,43.6,41.3,42.3,48.4,43.5,45.8,44.4,42.1,35.9,48.5,45.7,42.5,43.7,48.8,38.2,42.6,46.7,39.4,48.9
b=0.65,38.3,37.8,37.4,39.2,37.8,40.7,44.2,42.4,41.0,44.8,42.2,40.4,43.2,45.0,43.0,42.8,45.3,44.4,41.4,45.3,42.3,39.9,41.3,47.7,43.5,45.4,42.9,40.6,35.2,48.2,45.4,42.8,42.3,47.6,37.4,40.4,45.3,40.4,47.9
b=0.325,38.3,37.7,36.8,39.0,38.2,40.1,43.8,42.5,41.3,44.5,42.4,40.7,42.7,44.7,43.0,43.0,44.9,44.2,41.7,44.7,41.6,39.2,40.8,47.1,43.4,45.0,42.2,39.8,35.0,47.7,45.1,42.8,41.5,46.8,37.2,39.5,44.6,40.8,47.4
b=0.1625,38.3,37.8,36.7,38.9,38.4,39.9,43.6,42.5,41.4,44.4,42.4,40.8,42.4,44.6,43.0,43.0,44.7,44.1,41.8,44.4,41.3,38.9,40.6,46.8,43.4,44.8,41.8,39.4,35.0,47.4,44.9,42.7,41.1,46.4,37.1,39.2,44.2,40.9,47.2
