group,random,fsl-di,fsl-di-ens,fsl-di-wens,fsl-reg-di-lmb=0.01,fsl-reg-di-lmb=0.01-ens,fsl-reg-di-lmb=0.01-wens,houlsby-di,di 0,ch 0,ch 0 GPT-J,di ic,ch ic,ch ic GPT-J,random,fsl-di-meta,fsl-di-meta-ens,fsl-di-meta-wens,fsl-reg-di-lmb=0.01-meta,fsl-reg-di-lmb=0.01-meta-ens,fsl-reg-di-lmb=0.01-meta-wens,houlsby-di-meta,di multi-0,ch multi-0,di metaicl,ch metaicl
0,38.9,42.7,39.5,41.0,43.2,40.7,34.7,42.6,34.6,35.6,35.1,35.5,40.8,45.2,38.9,47.8,43.4,46.0,49.0,45.2,41.6,48.6,35.9,38.0,38.9,46.7
1,38.8,38.3,36.2,38.1,39.2,37.0,32.8,38.9,32.0,39.0,35.3,35.8,37.7,41.7,38.8,44.1,40.6,42.0,45.2,42.2,39.8,43.6,36.1,42.5,37.0,42.8
2,38.6,43.3,41.8,43.4,44.9,42.4,37.1,43.5,40.7,36.6,36.8,39.7,38.8,42.9,38.6,49.3,44.1,46.5,50.0,45.9,44.5,49.5,36.5,38.5,38.9,45.6
3,37.9,41.5,39.3,40.8,42.4,39.6,33.3,40.5,37.8,35.5,35.7,36.5,37.9,43.8,37.9,47.0,41.9,43.2,46.6,42.6,40.4,47.1,35.8,36.4,36.4,47.6
4,38.3,36.7,34.5,39.1,38.7,34.8,33.5,35.7,37.3,35.4,36.3,36.1,34.9,39.6,38.3,40.6,39.9,39.9,40.6,40.2,40.1,40.1,37.7,36.0,39.1,43.1
5,37.7,34.6,31.4,34.4,35.2,31.7,32.5,34.3,33.7,38.7,37.5,34.4,36.6,42.3,37.7,41.6,40.3,40.0,41.0,40.1,39.2,39.9,34.6,37.6,40.2,45.3
