group,random,direct 0,channel 0,channel 0 GPT-J,direct multi-0,channel multi-0,SL-(S)-meta,SL-(S)-meta-ens,SL-(S)-meta-wens,SL-reg-(S)-meta,SL-reg-(S)-meta-ens,SL-reg-(S)-meta-wens,adapter-(S)-meta,SL-(M)-meta,SL-(M)-meta-ens,SL-(M)-meta-wens,SL-reg-(M)-meta,SL-reg-(M)-meta-ens,SL-reg-(M)-meta-wens,adapter-(M)-meta,SL,SL-ens,SL-wens,SL-meta,SL-meta-ens,SL-meta-wens,SL-reg,SL-reg-ens,SL-reg-wens,SL-reg-meta,SL-reg-meta-ens,SL-reg-meta-wens,adapter,adapter-meta,direct ICL,channel ICL,channel ICL GPT-J,direct MetaICL,channel MetaICL
0,38.6,33.4,35.4,37.6,41.4,42.9,46.3,44.1,43.6,46.6,44.1,42.8,45.7,47.5,45.8,45.6,47.9,47.4,44.6,47.1,42.5,37.0,38.2,49.8,46.0,48.1,39.1,36.5,32.8,50.9,48.4,45.6,41.6,49.4,32.9,37.0,43.3,43.2,50.2
1,38.6,32.4,35.3,35.8,39.6,35.9,45.9,44.6,43.4,46.4,44.1,42.3,44.4,45.5,43.5,43.3,44.4,45.1,41.9,44.7,39.9,36.5,39.0,45.6,43.6,44.4,40.0,36.8,35.4,46.5,44.7,42.3,38.7,46.1,33.6,39.4,42.9,37.7,48.7
2,38.5,35.7,34.5,37.7,36.3,36.7,40.1,39.6,39.1,41.9,39.5,36.8,39.6,43.1,41.6,42.4,43.5,43.0,39.0,43.0,39.1,36.3,39.1,44.5,41.1,43.4,39.4,36.4,33.7,44.6,42.6,40.0,39.0,44.4,36.2,39.3,42.0,38.7,45.1
3,38.4,37.7,36.1,36.2,37.9,39.5,39.3,38.7,38.0,40.4,38.6,38.2,38.6,41.4,39.6,39.6,41.7,40.2,39.1,41.2,37.5,35.0,39.3,43.3,40.8,42.3,39.5,36.4,33.1,44.0,42.0,40.3,37.2,43.3,36.3,38.0,42.4,37.3,44.5
4,38.5,35.9,36.7,38.7,37.2,39.6,40.9,40.9,39.6,42.0,41.7,39.9,40.5,40.9,39.0,40.1,41.1,39.5,39.0,40.4,38.1,37.1,38.2,43.4,40.6,42.3,39.2,37.3,35.1,44.5,41.3,40.2,36.8,43.8,35.9,38.4,43.8,38.2,47.3
