group,random,direct 0,channel 0,channel 0 GPT-J,direct multi-0,channel multi-0,SL-(S)-meta,SL-(S)-meta-ens,SL-(S)-meta-wens,SL-reg-(S)-meta,SL-reg-(S)-meta-ens,SL-reg-(S)-meta-wens,adapter-(S)-meta,SL-(M)-meta,SL-(M)-meta-ens,SL-(M)-meta-wens,SL-reg-(M)-meta,SL-reg-(M)-meta-ens,SL-reg-(M)-meta-wens,adapter-(M)-meta,SL,SL-ens,SL-wens,SL-meta,SL-meta-ens,SL-meta-wens,SL-reg,SL-reg-ens,SL-reg-wens,SL-reg-meta,SL-reg-meta-ens,SL-reg-meta-wens,adapter,adapter-meta,direct ICL,channel ICL,channel ICL GPT-J,direct MetaICL,channel MetaICL
b=5.2,39.9,38.5,40.0,44.5,29.0,43.1,49.0,44.9,41.6,49.4,42.7,39.4,47.7,49.4,47.0,46.7,50.5,48.2,41.8,49.2,44.3,42.0,44.9,51.3,42.3,48.3,46.1,42.9,38.3,52.6,43.1,38.5,43.7,52.6,41.0,43.9,45.8,32.1,51.0
b=2.6,39.7,38.7,39.6,43.3,30.6,42.8,48.4,44.2,41.5,49.0,42.5,39.3,47.2,49.1,46.7,46.5,50.2,48.0,41.9,48.8,44.4,42.0,44.7,51.1,42.8,48.2,45.8,42.8,37.3,52.4,44.0,39.2,43.8,52.1,40.5,43.7,45.6,33.4,50.7
b=1.3,39.3,38.6,38.7,41.5,34.3,41.3,46.4,43.2,41.4,47.1,42.3,39.7,45.5,47.7,45.5,45.4,48.5,47.1,42.2,47.3,43.6,41.2,43.4,49.8,43.6,47.2,44.3,41.9,35.8,50.9,45.1,41.0,43.1,50.2,39.1,42.5,45.0,36.9,49.1
b=0.65,38.9,38.3,37.7,40.4,36.7,40.1,45.0,43.1,42.0,45.8,42.6,40.6,44.2,46.1,44.3,44.3,46.7,45.7,42.2,45.8,42.5,40.6,42.4,48.2,43.8,46.0,43.2,41.1,35.5,49.0,45.0,42.1,42.3,48.2,38.4,41.3,44.3,39.5,48.1
b=0.325,38.8,38.3,37.1,40.0,37.5,39.7,44.6,43.3,42.4,45.4,43.0,41.2,43.8,45.5,43.9,43.8,46.0,45.1,42.2,45.3,42.2,40.5,42.2,47.6,43.8,45.4,42.9,40.9,35.7,48.2,44.8,42.4,42.0,47.4,38.3,40.8,44.0,40.5,47.8
b=0.1625,38.7,38.3,36.8,39.8,37.7,39.5,44.5,43.4,42.6,45.4,43.2,41.5,43.7,45.3,43.7,43.7,45.7,44.9,42.1,45.1,42.1,40.5,42.2,47.3,43.7,45.2,42.9,40.9,35.8,47.8,44.7,42.5,42.0,47.1,38.3,40.6,43.9,40.8,47.7
