group,random,direct 0,channel 0,channel 0 GPT-J,direct multi-0,channel multi-0,SL-(S)-meta,SL-(S)-meta-ens,SL-(S)-meta-wens,SL-reg-(S)-meta,SL-reg-(S)-meta-ens,SL-reg-(S)-meta-wens,adapter-(S)-meta,SL-(M)-meta,SL-(M)-meta-ens,SL-(M)-meta-wens,SL-reg-(M)-meta,SL-reg-(M)-meta-ens,SL-reg-(M)-meta-wens,adapter-(M)-meta,SL,SL-ens,SL-wens,SL-meta,SL-meta-ens,SL-meta-wens,SL-reg,SL-reg-ens,SL-reg-wens,SL-reg-meta,SL-reg-meta-ens,SL-reg-meta-wens,adapter,adapter-meta,direct ICL,channel ICL,channel ICL GPT-J,direct MetaICL,channel MetaICL
b=10.8,38.3,36.7,36.6,37.2,38.3,41.9,45.3,44.0,43.2,49.0,44.7,42.6,44.3,44.7,43.0,42.0,44.4,44.2,40.0,45.7,42.8,39.3,42.2,48.6,43.3,45.8,43.8,41.2,34.9,51.5,47.4,43.2,43.3,48.3,34.5,43.2,48.5,39.8,50.2
b=5.4,38.3,36.7,36.6,37.3,38.4,41.8,45.3,44.0,43.2,48.9,44.7,42.6,44.3,44.8,43.1,42.1,44.5,44.3,40.1,45.7,42.8,39.3,42.2,48.7,43.4,45.9,43.8,41.2,34.9,51.5,47.4,43.3,43.2,48.4,34.6,43.1,48.4,39.9,50.1
b=2.7,38.4,37.0,36.8,37.9,39.0,41.7,45.0,43.6,42.9,48.2,44.2,42.3,43.9,44.8,43.3,42.6,44.7,44.6,40.7,45.6,42.5,39.3,41.9,48.7,43.9,46.2,43.5,41.1,35.0,51.3,47.5,43.7,42.7,48.4,35.0,42.6,47.6,40.4,49.4
b=1.35,38.6,37.4,37.5,39.0,39.9,41.6,44.1,42.7,42.3,46.5,43.1,41.7,42.9,44.2,42.8,42.8,44.3,44.1,41.3,44.7,41.7,39.1,41.1,48.0,44.2,46.1,42.8,40.5,35.0,50.0,47.1,44.1,41.4,47.7,35.6,41.7,46.3,41.1,48.1
b=0.675,38.7,37.5,37.9,39.6,40.3,41.6,43.3,42.0,41.9,45.2,42.3,41.2,42.0,43.3,42.1,42.6,43.6,43.4,41.3,43.7,41.0,38.8,40.4,47.1,44.1,45.7,42.1,39.9,34.9,48.7,46.3,44.0,40.4,46.8,35.9,41.0,45.3,41.3,47.1
b=0.3375,38.7,37.4,38.2,39.9,40.4,41.7,42.9,41.6,41.6,44.5,41.8,41.0,41.5,42.8,41.6,42.3,43.1,42.9,41.2,43.1,40.6,38.6,40.1,46.6,43.9,45.3,41.7,39.6,34.8,48.0,45.8,43.9,39.9,46.2,36.0,40.6,44.8,41.3,46.7
