group,random,direct 0,channel 0,channel 0 GPT-J,direct multi-0,channel multi-0,SL-(S)-meta,SL-(S)-meta-ens,SL-(S)-meta-wens,SL-reg-(S)-meta,SL-reg-(S)-meta-ens,SL-reg-(S)-meta-wens,adapter-(S)-meta,SL-(M)-meta,SL-(M)-meta-ens,SL-(M)-meta-wens,SL-reg-(M)-meta,SL-reg-(M)-meta-ens,SL-reg-(M)-meta-wens,adapter-(M)-meta,SL,SL-ens,SL-wens,SL-meta,SL-meta-ens,SL-meta-wens,SL-reg,SL-reg-ens,SL-reg-wens,SL-reg-meta,SL-reg-meta-ens,SL-reg-meta-wens,adapter,adapter-meta,direct ICL,channel ICL,channel ICL GPT-J,direct MetaICL,channel MetaICL
0,38.3,36.7,36.6,37.2,38.3,41.9,45.3,44.0,43.2,49.0,44.7,42.6,44.3,44.7,43.0,42.0,44.4,44.2,40.0,45.7,42.8,39.3,42.2,48.6,43.3,45.8,43.8,41.2,34.9,51.5,47.4,43.2,43.3,48.3,34.5,43.2,48.5,39.8,50.2
1,39.1,37.8,36.2,40.6,41.4,38.9,46.0,44.3,42.3,47.0,44.3,41.8,44.4,47.9,47.1,46.3,49.0,49.0,44.8,47.4,41.5,39.7,41.5,51.1,47.1,49.0,43.1,40.9,35.1,52.5,49.4,46.2,41.1,51.0,36.6,40.0,43.6,43.0,47.1
2,39.0,42.5,41.9,43.1,46.5,46.0,41.0,37.5,41.0,41.4,37.7,39.4,39.8,42.4,41.1,45.3,43.4,42.8,44.7,43.5,43.0,42.4,39.3,49.8,49.3,50.6,43.0,43.0,36.6,50.6,50.3,49.7,39.6,49.2,41.0,43.1,47.9,47.3,43.2
3,39.1,36.1,39.3,40.7,37.0,41.2,38.8,39.2,39.1,39.9,39.5,39.1,36.6,38.4,37.4,38.9,38.0,38.2,38.8,37.9,35.6,34.5,37.1,39.3,38.9,38.9,37.7,35.4,35.2,40.1,39.5,39.3,35.6,38.9,32.8,38.8,41.3,35.7,46.8
4,38.3,33.6,37.9,38.8,38.9,40.3,41.0,41.3,41.6,41.9,41.0,41.2,40.3,37.8,36.8,37.7,37.7,37.4,36.8,37.6,37.9,35.7,38.5,40.8,39.8,40.2,39.1,35.3,31.8,41.0,39.8,40.0,37.4,40.3,35.3,36.0,39.9,40.5,44.1
