group,random,direct 0,channel 0,channel 0 GPT-J,direct multi-0,channel multi-0,SL-(S)-meta,SL-(S)-meta-ens,SL-(S)-meta-wens,SL-reg-(S)-meta,SL-reg-(S)-meta-ens,SL-reg-(S)-meta-wens,adapter-(S)-meta,SL-(M)-meta,SL-(M)-meta-ens,SL-(M)-meta-wens,SL-reg-(M)-meta,SL-reg-(M)-meta-ens,SL-reg-(M)-meta-wens,adapter-(M)-meta,SL,SL-ens,SL-wens,SL-meta,SL-meta-ens,SL-meta-wens,SL-reg,SL-reg-ens,SL-reg-wens,SL-reg-meta,SL-reg-meta-ens,SL-reg-meta-wens,adapter,adapter-meta,direct ICL,channel ICL,channel ICL GPT-J,direct MetaICL,channel MetaICL
b=10.8,38.6,33.4,35.4,37.6,41.4,42.9,46.3,44.1,43.6,46.6,44.1,42.8,45.7,47.5,45.8,45.6,47.9,47.4,44.6,47.1,42.5,37.0,38.2,49.8,46.0,48.1,39.1,36.5,32.8,50.9,48.4,45.6,41.6,49.4,32.9,37.0,43.3,43.2,50.2
b=5.4,38.6,33.4,35.4,37.6,41.3,42.7,46.3,44.1,43.6,46.6,44.1,42.8,45.6,47.4,45.7,45.5,47.8,47.3,44.5,47.0,42.4,37.0,38.2,49.7,45.9,48.0,39.1,36.5,32.9,50.8,48.3,45.5,41.5,49.3,32.9,37.1,43.3,43.1,50.1
b=2.7,38.6,33.5,35.4,37.4,40.9,41.7,45.8,43.8,43.2,46.2,43.8,42.4,45.1,46.9,45.2,45.0,47.1,46.7,43.9,46.5,41.9,36.9,38.4,48.9,45.3,47.3,39.2,36.5,33.2,49.9,47.5,44.8,41.0,48.6,33.2,37.4,43.2,42.2,49.7
b=1.35,38.6,34.0,35.4,37.2,39.9,40.2,44.6,43.0,42.3,45.2,43.0,41.4,43.8,45.7,43.9,43.9,45.7,45.3,42.6,45.2,40.9,36.7,38.6,47.4,44.2,45.9,39.4,36.6,33.6,48.3,46.0,43.5,40.0,47.3,33.9,37.9,43.0,40.7,48.6
b=0.675,38.5,34.5,35.5,37.2,39.2,39.4,43.6,42.3,41.5,44.4,42.3,40.7,42.8,44.7,42.9,43.1,44.7,44.2,41.6,44.3,40.1,36.5,38.7,46.3,43.3,45.0,39.4,36.6,33.8,47.1,44.9,42.6,39.3,46.3,34.4,38.2,42.9,39.8,47.9
b=0.3375,38.5,34.7,35.5,37.2,38.8,39.1,43.0,41.9,41.1,43.9,41.9,40.3,42.3,44.2,42.4,42.6,44.2,43.6,41.2,43.8,39.8,36.4,38.7,45.8,42.8,44.5,39.4,36.7,33.9,46.6,44.3,42.1,39.0,45.8,34.7,38.3,42.9,39.4,47.5
