group,random,direct 0,channel 0,channel 0 GPT-J,direct multi-0,channel multi-0,SL-(S)-meta,SL-(S)-meta-ens,SL-(S)-meta-wens,SL-reg-(S)-meta,SL-reg-(S)-meta-ens,SL-reg-(S)-meta-wens,adapter-(S)-meta,SL-(M)-meta,SL-(M)-meta-ens,SL-(M)-meta-wens,SL-reg-(M)-meta,SL-reg-(M)-meta-ens,SL-reg-(M)-meta-wens,adapter-(M)-meta,SL,SL-ens,SL-wens,SL-meta,SL-meta-ens,SL-meta-wens,SL-reg,SL-reg-ens,SL-reg-wens,SL-reg-meta,SL-reg-meta-ens,SL-reg-meta-wens,adapter,adapter-meta,direct ICL,channel ICL,channel ICL GPT-J,direct MetaICL,channel MetaICL
0,39.3,32.8,40.3,35.1,37.9,38.8,47.4,45.9,46.2,46.8,45.6,45.7,46.9,43.7,42.3,42.2,43.6,43.5,40.9,45.9,40.8,38.5,41.1,47.3,44.1,45.4,41.3,37.8,37.8,48.4,45.9,43.3,41.3,46.4,33.6,39.6,46.4,39.4,48.6
1,38.3,35.3,35.6,36.6,38.2,38.5,40.3,39.5,39.8,42.6,40.4,39.1,39.0,43.8,42.3,42.8,44.0,44.1,41.5,42.9,38.7,35.7,37.3,45.4,41.7,43.6,38.1,36.2,32.7,45.5,43.2,41.1,37.5,45.2,34.9,39.3,41.2,38.2,47.1
2,38.3,39.8,34.2,39.1,35.9,37.2,39.2,38.8,37.7,41.0,38.7,35.8,38.6,42.5,41.6,41.8,43.7,42.8,39.6,41.0,38.4,36.5,39.1,43.5,41.0,42.6,39.3,37.1,34.2,44.5,42.0,39.4,38.1,43.6,36.0,41.7,43.8,37.4,47.2
3,38.4,36.1,34.7,37.3,39.1,40.1,39.7,39.0,38.0,40.9,38.9,39.8,38.7,40.1,39.3,38.5,40.3,40.7,39.4,40.2,37.6,35.8,38.6,42.8,42.2,42.3,39.1,37.1,35.3,44.7,42.6,41.0,37.2,42.9,36.0,37.2,42.1,39.6,44.9
4,38.3,39.1,36.4,39.0,34.6,37.7,41.3,40.6,39.8,42.3,40.8,39.4,41.5,42.4,38.6,40.6,42.1,38.8,37.6,42.4,40.0,39.6,41.4,44.4,39.7,42.6,40.4,39.8,38.2,43.5,39.9,39.3,38.8,44.4,38.4,39.5,43.2,36.3,47.5
