group,random,direct 0,channel 0,channel 0 GPT-J,direct multi-0,channel multi-0,SL-(S)-meta,SL-(S)-meta-ens,SL-(S)-meta-wens,SL-reg-(S)-meta,SL-reg-(S)-meta-ens,SL-reg-(S)-meta-wens,adapter-(S)-meta,SL-(M)-meta,SL-(M)-meta-ens,SL-(M)-meta-wens,SL-reg-(M)-meta,SL-reg-(M)-meta-ens,SL-reg-(M)-meta-wens,adapter-(M)-meta,SL,SL-ens,SL-wens,SL-meta,SL-meta-ens,SL-meta-wens,SL-reg,SL-reg-ens,SL-reg-wens,SL-reg-meta,SL-reg-meta-ens,SL-reg-meta-wens,adapter,adapter-meta,direct ICL,channel ICL,channel ICL GPT-J,direct MetaICL,channel MetaICL
0,38.6,33.4,36.9,37.2,36.2,38.4,42.9,40.5,38.2,43.0,39.6,37.7,42.6,45.0,42.6,42.1,45.8,44.5,39.8,45.0,42.3,39.3,40.3,47.0,42.5,45.2,43.0,40.8,34.9,48.5,44.7,41.1,42.2,47.9,34.1,40.2,44.0,38.9,47.4
1,38.6,35.6,35.7,38.7,37.9,39.4,41.8,40.5,40.2,42.6,41.2,40.1,41.1,43.4,42.6,42.0,43.6,44.0,41.6,42.7,39.7,38.1,39.8,46.2,42.8,44.1,41.4,39.0,34.3,47.3,44.6,42.0,41.0,45.8,36.1,38.7,43.7,39.0,43.5
2,38.1,43.1,37.8,38.6,40.2,39.2,43.6,41.7,41.5,47.0,43.7,40.5,40.9,48.1,45.7,46.5,48.4,47.1,45.3,44.3,43.8,42.8,42.7,50.1,44.8,48.1,44.2,42.7,38.6,50.7,46.4,46.1,43.7,49.4,42.3,41.7,44.5,42.5,44.0
3,38.2,36.8,35.1,36.9,38.5,37.9,39.2,39.3,39.0,39.9,39.1,38.8,37.9,40.5,39.6,39.9,39.7,40.0,39.3,39.9,36.2,34.1,38.7,40.5,39.9,40.1,38.5,34.3,33.6,41.0,40.5,40.4,35.4,40.1,35.7,34.8,40.1,38.6,44.1
4,37.7,33.6,37.2,36.8,35.4,37.2,40.2,41.6,41.0,41.0,42.1,40.2,38.9,39.5,39.0,39.4,38.7,39.3,39.2,39.9,35.5,31.9,34.9,41.2,40.7,40.4,36.1,32.0,32.2,41.3,40.6,39.9,34.3,40.2,34.3,35.6,41.5,40.0,44.9
