group,random,direct 0,channel 0,channel 0 GPT-J,direct multi-0,channel multi-0,SL-(S)-meta,SL-(S)-meta-ens,SL-(S)-meta-wens,SL-reg-(S)-meta,SL-reg-(S)-meta-ens,SL-reg-(S)-meta-wens,adapter-(S)-meta,SL-(M)-meta,SL-(M)-meta-ens,SL-(M)-meta-wens,SL-reg-(M)-meta,SL-reg-(M)-meta-ens,SL-reg-(M)-meta-wens,adapter-(M)-meta,SL,SL-ens,SL-wens,SL-meta,SL-meta-ens,SL-meta-wens,SL-reg,SL-reg-ens,SL-reg-wens,SL-reg-meta,SL-reg-meta-ens,SL-reg-meta-wens,adapter,adapter-meta,direct ICL,channel ICL,channel ICL GPT-J,direct MetaICL,channel MetaICL
b=8.,39.2,36.9,36.4,41.4,39.5,36.5,46.8,45.2,44.2,47.3,45.0,43.7,45.8,45.8,45.5,45.0,44.5,46.4,43.2,46.6,44.1,41.2,43.2,51.0,46.7,48.0,43.6,40.3,36.2,50.5,47.2,44.8,44.8,50.8,33.9,44.8,48.0,42.5,45.0
b=4.,39.2,36.6,36.5,41.0,39.4,36.6,46.8,45.2,44.2,47.2,45.0,43.7,45.8,45.7,45.4,44.9,44.5,46.3,43.1,46.5,43.9,41.0,43.0,50.7,46.5,47.9,43.4,40.1,36.2,50.4,47.2,44.7,44.5,50.5,34.0,44.4,47.8,42.3,45.2
b=2.,39.1,36.4,36.8,40.0,39.0,37.1,45.9,44.4,43.7,46.4,44.2,43.0,45.0,45.3,44.7,44.4,44.6,45.7,42.8,45.9,43.0,40.4,42.3,49.6,45.8,47.3,42.8,39.7,36.0,49.6,46.7,44.1,43.4,49.5,34.7,43.1,46.8,41.6,45.6
b=1.,38.9,36.9,36.7,39.1,38.6,37.8,44.3,43.0,42.4,45.2,43.0,41.7,43.5,44.5,43.5,43.5,44.3,44.7,42.1,44.7,41.9,39.7,41.4,48.1,44.6,46.2,41.9,39.4,35.8,48.4,45.6,43.2,41.9,48.0,35.8,41.6,45.2,40.6,46.0
b=0.5,38.7,37.5,36.5,38.7,38.4,38.2,43.4,42.2,41.6,44.5,42.4,40.9,42.6,44.0,42.8,42.8,44.0,44.0,41.5,43.9,41.2,39.3,41.1,47.1,43.8,45.5,41.5,39.3,35.9,47.6,44.9,42.6,41.0,47.1,36.5,40.8,44.3,40.0,46.2
b=0.25,38.7,37.7,36.4,38.6,38.3,38.3,43.0,41.9,41.3,44.1,42.1,40.6,42.3,43.7,42.4,42.5,43.8,43.6,41.3,43.5,40.9,39.2,41.0,46.7,43.5,45.2,41.3,39.3,35.9,47.2,44.5,42.3,40.6,46.7,36.8,40.5,43.9,39.8,46.2
