group,random,direct 0,channel 0,channel 0 GPT-J,direct multi-0,channel multi-0,SL-(S)-meta,SL-(S)-meta-ens,SL-(S)-meta-wens,SL-reg-(S)-meta,SL-reg-(S)-meta-ens,SL-reg-(S)-meta-wens,adapter-(S)-meta,SL-(M)-meta,SL-(M)-meta-ens,SL-(M)-meta-wens,SL-reg-(M)-meta,SL-reg-(M)-meta-ens,SL-reg-(M)-meta-wens,adapter-(M)-meta,SL,SL-ens,SL-wens,SL-meta,SL-meta-ens,SL-meta-wens,SL-reg,SL-reg-ens,SL-reg-wens,SL-reg-meta,SL-reg-meta-ens,SL-reg-meta-wens,adapter,adapter-meta,direct ICL,channel ICL,channel ICL GPT-J,direct MetaICL,channel MetaICL
b=6.4,38.8,36.7,44.0,42.5,37.5,39.4,45.0,44.3,44.3,44.9,43.8,44.0,43.7,43.9,44.3,44.5,46.9,47.2,43.9,44.0,41.4,39.2,40.6,48.7,46.0,48.7,42.8,38.9,34.3,48.6,47.1,45.6,43.0,48.5,43.0,40.5,43.3,41.6,52.3
b=3.2,38.8,36.5,42.7,42.1,37.6,39.0,45.4,44.5,44.4,45.3,44.0,43.9,44.2,44.5,44.7,44.7,47.0,47.4,44.0,44.5,41.8,39.5,41.0,49.0,46.0,48.6,42.9,39.1,34.4,49.0,47.2,45.5,43.2,48.8,41.7,40.5,43.7,41.9,51.8
b=1.6,38.7,36.3,39.4,40.6,38.1,38.4,45.6,44.3,43.9,45.6,43.9,43.2,44.7,45.5,44.8,44.8,46.8,47.0,43.7,45.3,42.2,39.6,41.2,48.7,45.4,47.7,42.5,39.2,34.7,49.1,46.8,44.6,42.8,48.6,38.8,40.3,44.1,41.9,50.3
b=0.8,38.6,36.6,36.8,39.1,38.4,38.0,44.7,43.5,42.7,45.0,43.1,42.0,43.9,45.4,44.0,44.1,45.8,45.7,42.8,45.0,41.6,39.1,40.9,47.7,44.4,46.2,41.7,38.9,34.9,48.2,45.7,43.3,41.6,47.7,37.3,39.9,44.0,41.2,48.9
b=0.4,38.5,37.0,35.9,38.4,38.4,38.0,44.0,42.9,42.1,44.5,42.6,41.3,43.2,45.0,43.4,43.5,45.2,44.8,42.1,44.6,41.1,38.7,40.7,47.0,43.8,45.4,41.3,38.7,35.0,47.5,45.0,42.7,40.8,47.0,37.1,39.7,43.9,40.7,48.2
b=0.2,38.5,37.2,35.6,38.2,38.4,38.0,43.6,42.7,41.8,44.2,42.4,41.1,42.9,44.7,43.1,43.2,44.8,44.3,41.8,44.4,40.9,38.5,40.6,46.6,43.6,45.1,41.1,38.6,35.1,47.2,44.7,42.4,40.5,46.7,37.1,39.6,43.8,40.5,47.9
