group,random,direct 0,channel 0,channel 0 GPT-J,direct multi-0,channel multi-0,SL-(S)-meta,SL-(S)-meta-ens,SL-(S)-meta-wens,SL-reg-(S)-meta,SL-reg-(S)-meta-ens,SL-reg-(S)-meta-wens,adapter-(S)-meta,SL-(M)-meta,SL-(M)-meta-ens,SL-(M)-meta-wens,SL-reg-(M)-meta,SL-reg-(M)-meta-ens,SL-reg-(M)-meta-wens,adapter-(M)-meta,SL,SL-ens,SL-wens,SL-meta,SL-meta-ens,SL-meta-wens,SL-reg,SL-reg-ens,SL-reg-wens,SL-reg-meta,SL-reg-meta-ens,SL-reg-meta-wens,adapter,adapter-meta,direct ICL,channel ICL,channel ICL GPT-J,direct MetaICL,channel MetaICL
0,39.0,35.8,37.6,36.6,37.6,40.1,45.1,43.1,42.8,46.2,43.9,42.9,44.7,45.2,43.4,43.6,45.4,44.8,41.7,45.2,40.8,39.1,40.5,49.4,44.9,46.7,41.6,38.5,33.9,50.2,46.8,44.0,41.6,48.7,34.6,41.8,46.1,40.2,46.4
1,38.4,32.2,38.4,38.7,39.0,41.5,43.1,41.4,42.3,44.6,41.9,40.7,41.8,44.9,43.2,43.0,45.1,44.8,42.4,43.6,41.9,35.6,36.9,46.6,43.3,44.9,38.0,35.6,32.9,46.7,44.6,42.2,40.0,46.8,33.2,39.6,43.4,40.4,47.0
2,38.4,41.2,35.4,35.3,37.0,37.4,40.4,39.6,38.9,41.8,39.7,37.7,39.5,42.8,40.9,41.2,43.5,42.8,39.1,42.0,39.5,38.0,39.0,44.3,40.8,43.3,39.9,37.8,34.6,44.5,42.6,39.9,39.0,44.4,38.9,42.3,44.6,37.8,46.5
3,38.4,36.8,35.9,36.8,37.2,38.7,39.4,39.2,37.9,41.8,39.9,37.2,38.6,41.9,42.0,41.4,42.3,42.9,40.8,41.6,38.6,36.0,38.5,44.7,42.3,43.7,38.7,37.1,34.7,46.2,44.1,41.1,38.2,44.7,35.6,39.1,41.7,37.8,46.4
4,38.4,37.4,33.9,37.6,37.7,37.2,39.2,38.0,37.4,39.9,37.6,38.2,38.3,39.8,37.7,37.8,39.5,38.2,37.1,39.5,36.6,35.9,38.3,42.3,40.2,41.2,38.4,36.7,34.2,43.3,40.5,38.8,36.7,42.6,36.0,37.3,42.5,37.2,44.0
5,38.3,40.0,36.6,39.0,36.8,39.6,42.6,42.5,41.8,43.4,42.6,41.4,42.5,44.1,39.9,41.1,43.9,39.9,38.9,42.7,40.8,40.6,42.5,45.8,41.5,44.4,41.7,41.3,38.8,45.7,42.2,42.3,38.7,45.7,41.0,39.6,43.5,36.7,50.1
