group,random,direct 0,channel 0,channel 0 GPT-J,direct multi-0,channel multi-0,SL-(S)-meta,SL-(S)-meta-ens,SL-(S)-meta-wens,SL-reg-(S)-meta,SL-reg-(S)-meta-ens,SL-reg-(S)-meta-wens,adapter-(S)-meta,SL-(M)-meta,SL-(M)-meta-ens,SL-(M)-meta-wens,SL-reg-(M)-meta,SL-reg-(M)-meta-ens,SL-reg-(M)-meta-wens,adapter-(M)-meta,SL,SL-ens,SL-wens,SL-meta,SL-meta-ens,SL-meta-wens,SL-reg,SL-reg-ens,SL-reg-wens,SL-reg-meta,SL-reg-meta-ens,SL-reg-meta-wens,adapter,adapter-meta,direct ICL,channel ICL,channel ICL GPT-J,direct MetaICL,channel MetaICL
b=8.,38.0,36.3,36.0,36.2,38.9,39.8,49.3,46.1,44.6,50.0,45.3,42.3,48.4,49.7,47.6,46.2,50.0,48.7,43.0,49.9,45.4,42.3,44.8,53.6,47.6,50.9,46.5,43.5,36.8,53.9,48.9,44.8,46.6,54.3,39.1,42.2,45.5,42.4,49.4
b=4.,38.0,36.3,36.1,36.4,38.8,39.8,48.9,45.8,44.4,49.8,45.1,42.2,48.0,49.3,47.2,45.9,49.6,48.3,42.8,49.5,45.1,42.0,44.5,53.2,47.3,50.5,46.2,43.3,36.6,53.6,48.7,44.7,46.2,53.8,38.7,42.2,45.7,42.3,49.3
b=2.,38.2,36.5,36.4,37.3,39.0,39.8,47.2,44.6,43.4,48.4,44.1,41.8,46.3,47.8,45.9,45.0,48.0,47.1,42.4,47.9,43.9,40.9,43.4,51.5,46.3,49.1,45.1,42.3,36.0,52.4,48.1,44.5,44.6,51.9,37.6,41.9,45.6,42.1,48.6
b=1.,38.5,37.1,36.9,38.5,39.4,40.0,44.8,42.8,42.1,46.0,42.6,41.0,43.7,45.4,43.9,43.8,45.7,45.1,41.9,45.5,42.1,39.5,41.6,48.9,45.0,47.1,43.3,40.8,35.4,50.0,46.8,44.0,42.1,49.0,36.7,41.0,45.0,41.7,47.4
b=0.5,38.6,37.3,37.3,39.2,39.6,40.2,43.3,41.7,41.3,44.4,41.6,40.5,42.1,43.9,42.6,42.9,44.2,43.8,41.4,43.9,40.8,38.6,40.4,47.2,44.1,45.8,42.1,39.7,34.9,48.3,45.7,43.5,40.6,47.1,36.3,40.4,44.4,41.3,46.6
b=0.25,38.6,37.3,37.5,39.5,39.6,40.3,42.6,41.2,41.0,43.7,41.1,40.2,41.4,43.1,41.9,42.4,43.4,43.1,41.2,43.1,40.2,38.1,39.8,46.4,43.6,45.1,41.5,39.1,34.7,47.4,45.1,43.2,39.9,46.2,36.1,40.0,44.1,41.0,46.3
