group,random,direct 0,channel 0,channel 0 GPT-J,direct multi-0,channel multi-0,SL-(S)-meta,SL-(S)-meta-ens,SL-(S)-meta-wens,SL-reg-(S)-meta,SL-reg-(S)-meta-ens,SL-reg-(S)-meta-wens,adapter-(S)-meta,SL-(M)-meta,SL-(M)-meta-ens,SL-(M)-meta-wens,SL-reg-(M)-meta,SL-reg-(M)-meta-ens,SL-reg-(M)-meta-wens,adapter-(M)-meta,SL,SL-ens,SL-wens,SL-meta,SL-meta-ens,SL-meta-wens,SL-reg,SL-reg-ens,SL-reg-wens,SL-reg-meta,SL-reg-meta-ens,SL-reg-meta-wens,adapter,adapter-meta,direct ICL,channel ICL,channel ICL GPT-J,direct MetaICL,channel MetaICL
0,38.9,35.4,36.1,38.4,37.6,38.2,43.9,41.8,41.4,44.6,42.3,41.0,43.3,44.6,42.9,42.6,45.2,44.7,41.6,44.3,40.8,38.2,39.7,47.3,43.0,45.5,40.8,37.2,32.1,48.2,45.5,42.8,40.0,47.0,32.7,39.4,43.6,40.1,47.7
1,38.4,31.7,35.8,35.8,37.9,35.5,44.7,43.4,42.3,45.0,42.6,40.9,44.0,45.1,43.9,43.4,45.1,45.4,42.6,45.2,38.7,35.7,38.2,45.1,42.8,43.8,38.3,36.0,35.6,46.0,43.7,41.5,38.2,45.3,32.4,38.0,43.3,38.1,48.4
2,38.5,36.2,36.5,38.5,39.0,38.8,40.9,39.6,39.0,41.7,40.0,38.7,40.1,43.3,41.3,40.9,43.0,42.4,39.4,41.7,39.9,36.4,39.1,44.8,42.4,43.6,40.1,36.8,32.9,45.3,44.0,41.0,39.2,45.4,35.7,41.7,41.9,38.8,47.1
3,38.5,35.8,34.3,34.9,37.5,37.3,39.9,39.6,39.1,41.3,39.4,38.2,39.2,43.3,41.5,42.4,43.3,43.0,41.1,42.7,38.6,36.1,38.5,45.1,41.6,43.6,38.8,36.1,33.5,44.9,43.3,41.0,38.1,44.5,34.9,38.2,42.8,39.1,43.3
4,38.6,38.1,35.3,36.9,39.8,40.3,39.9,39.2,38.3,40.5,38.7,38.2,39.3,41.3,39.7,39.9,41.5,39.7,39.2,42.1,38.5,36.7,40.7,43.4,41.4,42.5,40.4,37.4,35.9,44.8,43.0,41.1,38.6,43.9,37.0,37.2,42.4,37.2,45.4
5,38.4,36.2,36.0,38.2,37.1,39.7,40.5,41.3,39.3,42.0,42.2,40.3,40.0,41.2,39.5,39.1,41.3,39.3,38.4,40.2,37.4,36.3,37.7,42.9,40.6,41.9,39.2,37.7,34.6,44.0,41.1,40.1,36.1,43.3,36.3,38.5,43.4,38.3,49.1
