group,random,direct 0,channel 0,channel 0 GPT-J,direct multi-0,channel multi-0,SL-(S)-meta,SL-(S)-meta-ens,SL-(S)-meta-wens,SL-reg-(S)-meta,SL-reg-(S)-meta-ens,SL-reg-(S)-meta-wens,adapter-(S)-meta,SL-(M)-meta,SL-(M)-meta-ens,SL-(M)-meta-wens,SL-reg-(M)-meta,SL-reg-(M)-meta-ens,SL-reg-(M)-meta-wens,adapter-(M)-meta,SL,SL-ens,SL-wens,SL-meta,SL-meta-ens,SL-meta-wens,SL-reg,SL-reg-ens,SL-reg-wens,SL-reg-meta,SL-reg-meta-ens,SL-reg-meta-wens,adapter,adapter-meta,direct ICL,channel ICL,channel ICL GPT-J,direct MetaICL,channel MetaICL
b=6.4,38.6,36.7,35.5,39.1,34.3,40.0,45.9,43.4,42.0,48.2,42.9,40.1,46.3,49.0,46.3,45.4,48.8,47.7,42.5,48.6,44.1,41.5,41.1,49.4,42.8,46.4,44.0,41.5,34.1,50.1,44.9,41.5,43.5,51.0,36.0,39.9,47.8,40.0,50.1
b=3.2,38.5,36.4,35.5,38.7,34.8,39.9,46.2,43.6,42.2,48.3,43.1,40.3,46.5,48.9,46.3,45.4,48.8,47.6,42.4,48.6,44.2,41.5,41.5,49.8,43.4,46.9,44.3,41.7,34.4,50.5,45.4,42.0,43.8,51.3,36.3,40.3,47.5,40.4,49.8
b=1.6,38.5,36.3,35.9,38.5,36.5,39.6,45.9,43.4,42.1,47.4,42.8,40.5,45.7,47.8,45.5,44.8,47.8,46.7,42.1,47.5,43.4,40.8,41.9,49.8,44.3,47.4,44.1,41.4,34.7,50.6,46.2,42.9,43.4,50.7,36.3,40.7,46.4,41.2,48.7
b=0.8,38.5,36.7,36.6,39.1,38.0,39.7,44.2,42.2,41.4,45.3,41.9,40.3,43.6,45.5,43.7,43.7,45.6,44.9,41.6,45.3,41.5,39.1,40.8,48.2,44.0,46.3,42.6,40.0,34.7,49.1,45.7,43.2,41.5,48.4,35.9,40.3,45.0,41.2,47.3
b=0.4,38.6,36.9,37.0,39.4,38.5,39.9,43.0,41.5,40.8,44.0,41.2,40.0,42.1,44.0,42.5,42.8,44.2,43.7,41.2,43.7,40.3,38.1,39.9,46.8,43.4,45.3,41.4,39.0,34.5,47.7,45.0,42.9,40.2,46.8,35.6,39.8,44.2,40.9,46.7
b=0.2,38.6,37.0,37.1,39.6,38.7,40.1,42.4,41.1,40.6,43.4,40.9,39.9,41.4,43.3,41.8,42.4,43.5,43.1,41.0,43.0,39.6,37.5,39.4,46.1,43.1,44.7,40.9,38.4,34.4,47.0,44.5,42.7,39.5,45.9,35.5,39.5,43.9,40.6,46.4
