group,random,direct 0,channel 0,channel 0 GPT-J,direct multi-0,channel multi-0,SL-(S)-meta,SL-(S)-meta-ens,SL-(S)-meta-wens,SL-reg-(S)-meta,SL-reg-(S)-meta-ens,SL-reg-(S)-meta-wens,adapter-(S)-meta,SL-(M)-meta,SL-(M)-meta-ens,SL-(M)-meta-wens,SL-reg-(M)-meta,SL-reg-(M)-meta-ens,SL-reg-(M)-meta-wens,adapter-(M)-meta,SL,SL-ens,SL-wens,SL-meta,SL-meta-ens,SL-meta-wens,SL-reg,SL-reg-ens,SL-reg-wens,SL-reg-meta,SL-reg-meta-ens,SL-reg-meta-wens,adapter,adapter-meta,direct ICL,channel ICL,channel ICL GPT-J,direct MetaICL,channel MetaICL
b=6.4,38.5,38.2,35.2,40.8,39.5,41.9,44.1,41.4,40.4,44.5,40.9,39.9,44.9,44.6,42.6,41.8,45.6,44.4,40.6,45.2,43.4,41.3,42.8,46.9,43.5,45.6,44.6,41.6,36.6,49.3,46.8,44.3,44.0,46.8,38.3,46.5,49.7,39.7,52.1
b=3.2,38.5,37.8,35.1,40.2,39.1,41.6,44.2,41.5,40.5,44.5,41.0,39.9,44.7,44.9,42.8,42.1,45.7,44.6,40.8,45.4,43.5,41.2,42.7,47.3,43.8,45.9,44.6,41.7,36.3,49.5,46.9,44.2,44.0,47.3,38.1,45.9,49.2,39.8,51.6
b=1.6,38.6,36.9,35.3,38.9,38.2,40.5,44.1,41.7,40.6,44.4,41.3,39.9,43.9,45.2,43.1,42.7,45.8,44.8,41.1,45.4,43.0,40.4,42.0,47.8,43.9,46.0,44.0,41.3,35.6,49.4,46.5,43.5,43.3,47.9,37.3,43.4,47.3,39.9,49.7
b=0.8,38.6,36.6,35.7,38.2,37.8,39.3,43.5,41.8,40.7,44.1,41.6,40.0,42.8,44.9,43.0,42.8,45.3,44.4,41.3,44.8,42.0,39.4,41.2,47.3,43.5,45.3,42.8,40.1,35.1,48.3,45.3,42.7,42.0,47.3,36.7,40.8,45.0,40.0,47.8
b=0.4,38.5,36.7,36.0,37.9,37.8,38.8,43.2,41.8,40.7,43.8,41.7,40.1,42.2,44.6,42.8,42.7,44.7,44.0,41.4,44.3,41.3,38.7,40.6,46.7,43.2,44.7,42.0,39.3,34.8,47.4,44.6,42.4,41.1,46.6,36.6,39.6,43.9,40.1,46.9
b=0.2,38.5,36.8,36.1,37.9,37.8,38.7,43.0,41.8,40.7,43.7,41.8,40.2,41.9,44.3,42.7,42.6,44.4,43.7,41.4,44.0,40.9,38.4,40.4,46.4,43.0,44.4,41.7,38.9,34.8,47.0,44.3,42.2,40.7,46.2,36.5,39.0,43.4,40.2,46.6
