group,random,direct 0,channel 0,channel 0 GPT-J,direct multi-0,channel multi-0,SL-(S)-meta,SL-(S)-meta-ens,SL-(S)-meta-wens,SL-reg-(S)-meta,SL-reg-(S)-meta-ens,SL-reg-(S)-meta-wens,adapter-(S)-meta,SL-(M)-meta,SL-(M)-meta-ens,SL-(M)-meta-wens,SL-reg-(M)-meta,SL-reg-(M)-meta-ens,SL-reg-(M)-meta-wens,adapter-(M)-meta,SL,SL-ens,SL-wens,SL-meta,SL-meta-ens,SL-meta-wens,SL-reg,SL-reg-ens,SL-reg-wens,SL-reg-meta,SL-reg-meta-ens,SL-reg-meta-wens,adapter,adapter-meta,direct ICL,channel ICL,channel ICL GPT-J,direct MetaICL,channel MetaICL
b=6.4,39.0,35.9,36.7,40.3,36.2,38.6,43.4,40.4,38.9,45.5,40.8,38.6,43.5,48.0,46.8,46.1,49.8,49.5,44.0,47.3,43.7,39.2,42.8,49.9,44.0,47.0,43.8,40.8,33.3,51.3,47.3,41.9,43.3,49.8,36.2,42.8,44.5,36.5,47.9
b=3.2,39.0,36.1,36.9,40.4,36.4,38.8,43.3,40.4,39.0,45.2,40.6,38.6,43.2,47.5,46.3,45.6,49.2,48.9,43.7,46.9,43.4,39.1,42.4,49.6,44.1,46.8,43.5,40.7,33.3,50.9,47.2,42.0,42.9,49.5,36.1,42.6,44.5,37.0,47.7
b=1.6,39.0,36.3,37.2,40.3,36.8,39.0,42.9,40.5,39.3,44.3,40.5,38.7,42.5,45.9,44.8,44.2,47.3,47.0,42.7,45.6,42.1,38.6,41.2,48.3,43.5,45.7,42.5,40.0,33.5,49.3,46.0,41.8,41.7,48.2,35.7,41.6,44.1,38.0,46.9
b=0.8,38.8,36.2,36.9,39.6,37.0,38.8,42.6,41.0,40.0,43.6,40.9,39.3,42.0,44.5,43.3,42.8,45.4,45.0,41.7,44.3,40.9,38.3,40.3,46.7,42.8,44.4,41.5,39.3,33.9,47.4,44.6,41.4,40.7,46.6,35.6,40.4,43.5,38.9,46.5
b=0.4,38.8,36.2,36.6,39.2,37.1,38.5,42.5,41.3,40.4,43.5,41.3,39.7,41.8,43.9,42.6,42.3,44.6,44.1,41.2,43.7,40.5,38.3,40.1,45.9,42.5,43.8,41.2,39.1,34.2,46.6,43.9,41.3,40.3,45.8,35.8,39.9,43.2,39.2,46.4
b=0.2,38.7,36.2,36.4,39.0,37.2,38.4,42.5,41.5,40.6,43.4,41.5,39.9,41.8,43.6,42.4,42.0,44.3,43.8,41.0,43.5,40.3,38.4,40.1,45.6,42.4,43.6,41.2,39.0,34.4,46.2,43.6,41.2,40.2,45.5,35.9,39.6,43.1,39.4,46.3
