group,random,direct 0,channel 0,channel 0 GPT-J,direct multi-0,channel multi-0,SL-(S)-meta,SL-(S)-meta-ens,SL-(S)-meta-wens,SL-reg-(S)-meta,SL-reg-(S)-meta-ens,SL-reg-(S)-meta-wens,adapter-(S)-meta,SL-(M)-meta,SL-(M)-meta-ens,SL-(M)-meta-wens,SL-reg-(M)-meta,SL-reg-(M)-meta-ens,SL-reg-(M)-meta-wens,adapter-(M)-meta,SL,SL-ens,SL-wens,SL-meta,SL-meta-ens,SL-meta-wens,SL-reg,SL-reg-ens,SL-reg-wens,SL-reg-meta,SL-reg-meta-ens,SL-reg-meta-wens,adapter,adapter-meta,direct ICL,channel ICL,channel ICL GPT-J,direct MetaICL,channel MetaICL
0,39.1,34.8,35.7,35.2,36.4,39.1,42.3,40.0,38.9,42.5,39.7,38.2,41.7,44.6,42.8,42.5,46.1,45.0,40.5,44.6,42.2,38.9,40.2,47.4,43.3,45.7,42.8,40.3,33.1,48.6,45.3,41.9,41.5,48.2,35.1,41.6,44.7,38.9,47.5
1,39.1,35.0,35.0,37.9,36.9,37.8,43.8,40.9,39.8,44.0,41.1,39.2,42.6,45.8,43.4,43.1,46.4,45.5,40.9,45.2,41.1,38.3,41.1,48.0,42.7,45.1,42.0,39.5,35.1,48.6,44.2,40.5,42.0,47.7,35.1,39.0,43.7,40.0,45.4
2,38.2,38.2,36.8,37.2,37.2,39.1,42.4,41.2,40.4,43.3,41.6,39.2,40.8,45.1,43.8,43.5,45.5,44.7,41.9,44.2,41.6,39.7,41.6,47.0,42.7,45.5,43.4,40.0,33.2,48.6,45.2,42.8,41.9,47.4,39.1,40.2,45.0,38.7,47.0
3,38.0,36.8,35.9,36.6,35.7,36.0,42.7,40.1,37.7,43.1,39.4,36.1,41.7,45.5,41.0,39.6,44.1,39.9,37.3,44.8,41.0,38.7,39.9,48.3,39.4,42.1,41.5,39.2,34.1,45.9,39.4,39.6,39.6,48.0,35.9,35.7,39.0,36.0,47.9
4,37.8,36.6,36.5,35.5,39.9,37.5,42.4,43.3,43.1,43.1,42.9,42.3,40.9,41.9,42.0,42.2,41.3,42.1,41.4,42.2,36.3,32.6,38.5,42.8,42.6,42.8,39.3,34.3,34.2,43.2,43.1,42.7,36.8,42.6,36.3,35.2,41.8,41.4,43.7
5,38.3,37.5,38.0,39.4,34.7,34.5,39.8,39.6,37.9,40.5,40.2,37.2,37.9,40.5,39.4,39.7,39.4,39.8,39.0,40.1,34.8,32.6,35.8,41.1,39.8,39.2,35.2,32.1,32.1,40.3,39.6,38.9,34.3,38.9,36.1,38.5,40.5,38.2,44.2
