group,random,direct 0,channel 0,channel 0 GPT-J,direct multi-0,channel multi-0,SL-(S)-meta,SL-(S)-meta-ens,SL-(S)-meta-wens,SL-reg-(S)-meta,SL-reg-(S)-meta-ens,SL-reg-(S)-meta-wens,adapter-(S)-meta,SL-(M)-meta,SL-(M)-meta-ens,SL-(M)-meta-wens,SL-reg-(M)-meta,SL-reg-(M)-meta-ens,SL-reg-(M)-meta-wens,adapter-(M)-meta,SL,SL-ens,SL-wens,SL-meta,SL-meta-ens,SL-meta-wens,SL-reg,SL-reg-ens,SL-reg-wens,SL-reg-meta,SL-reg-meta-ens,SL-reg-meta-wens,adapter,adapter-meta,direct ICL,channel ICL,channel ICL GPT-J,direct MetaICL,channel MetaICL
b=6.4,38.3,38.0,37.9,38.6,34.1,41.6,42.7,38.2,36.4,41.2,37.3,35.5,42.3,43.0,40.3,39.3,42.5,41.3,37.7,44.0,41.5,38.5,42.0,44.5,39.4,41.8,44.0,40.3,35.1,44.3,42.0,38.9,42.3,45.5,39.3,45.1,45.1,40.3,46.8
b=3.2,38.4,38.0,37.5,38.4,34.7,41.3,42.9,38.8,37.0,41.7,37.9,36.2,42.5,43.5,40.9,40.2,43.3,42.2,38.4,44.3,41.8,38.7,41.8,45.1,40.1,42.5,43.8,40.3,35.0,45.1,42.7,39.5,42.5,46.1,38.8,44.6,45.4,40.3,47.1
b=1.6,38.5,37.5,36.5,37.9,36.4,40.4,43.4,40.2,38.7,42.9,39.8,38.1,42.7,44.6,42.4,42.1,45.0,44.1,40.3,44.9,42.0,38.9,41.4,46.4,41.8,44.1,43.1,40.0,34.6,47.0,44.2,41.0,42.3,47.2,37.8,42.7,45.5,40.6,47.5
b=0.8,38.5,37.1,35.9,37.7,37.6,39.0,43.2,41.2,39.9,43.5,41.0,39.3,42.3,44.7,42.9,42.8,45.1,44.5,41.2,44.7,41.3,38.3,40.7,46.7,42.6,44.5,42.0,39.1,34.4,47.4,44.6,41.9,41.3,47.0,37.1,40.6,44.6,40.6,47.3
b=0.4,38.5,37.1,35.8,37.7,37.9,38.3,42.9,41.5,40.2,43.4,41.4,39.6,41.9,44.4,42.8,42.7,44.6,44.1,41.3,44.2,40.7,37.8,40.2,46.4,42.7,44.3,41.3,38.4,34.3,47.1,44.3,42.0,40.5,46.4,36.9,39.6,43.8,40.6,46.9
b=0.2,38.4,37.2,35.9,37.7,38.1,38.0,42.7,41.5,40.3,43.3,41.4,39.7,41.6,44.1,42.6,42.6,44.3,43.8,41.3,43.9,40.4,37.5,40.0,46.1,42.6,44.1,40.9,38.1,34.3,46.7,44.1,42.0,40.1,46.0,36.8,39.2,43.5,40.5,46.8
