group,random,direct 0,channel 0,channel 0 GPT-J,direct multi-0,channel multi-0,SL-(S)-meta,SL-(S)-meta-ens,SL-(S)-meta-wens,SL-reg-(S)-meta,SL-reg-(S)-meta-ens,SL-reg-(S)-meta-wens,adapter-(S)-meta,SL-(M)-meta,SL-(M)-meta-ens,SL-(M)-meta-wens,SL-reg-(M)-meta,SL-reg-(M)-meta-ens,SL-reg-(M)-meta-wens,adapter-(M)-meta,SL,SL-ens,SL-wens,SL-meta,SL-meta-ens,SL-meta-wens,SL-reg,SL-reg-ens,SL-reg-wens,SL-reg-meta,SL-reg-meta-ens,SL-reg-meta-wens,adapter,adapter-meta,direct ICL,channel ICL,channel ICL GPT-J,direct MetaICL,channel MetaICL
b=10.8,38.9,37.3,40.1,42.3,34.9,40.7,40.6,38.5,37.8,41.4,38.2,37.0,40.4,43.2,42.2,41.0,44.2,44.1,39.9,43.3,38.3,35.6,38.2,44.7,40.7,42.2,39.2,37.0,31.4,45.5,42.5,39.3,38.9,44.1,34.2,41.3,43.4,37.0,45.8
b=5.4,38.9,37.2,40.0,42.2,35.0,40.6,40.6,38.5,37.8,41.4,38.2,37.0,40.4,43.2,42.2,41.0,44.2,44.1,39.9,43.3,38.3,35.6,38.2,44.7,40.7,42.2,39.2,37.0,31.5,45.5,42.5,39.3,38.9,44.1,34.2,41.2,43.4,37.0,45.8
b=2.7,38.8,36.7,39.4,41.6,35.3,40.1,40.5,38.7,37.9,41.4,38.4,37.2,40.2,43.1,42.0,41.0,43.9,43.8,39.9,43.0,38.4,35.9,38.4,44.5,40.8,42.2,39.3,37.1,31.9,45.4,42.5,39.5,38.9,44.1,34.2,40.8,43.3,37.2,45.7
b=1.35,38.8,35.9,38.3,40.4,35.7,39.3,40.5,39.0,38.2,41.4,38.9,37.6,40.0,42.6,41.5,40.8,43.3,43.1,39.8,42.5,38.4,36.2,38.5,44.1,40.7,42.1,39.4,37.2,32.6,44.9,42.2,39.7,38.9,43.8,34.3,39.9,42.9,37.5,45.6
b=0.675,38.7,35.3,37.6,39.5,35.9,38.8,40.5,39.2,38.5,41.5,39.2,37.9,39.9,42.2,41.0,40.5,42.7,42.5,39.6,42.0,38.4,36.3,38.6,43.6,40.6,41.9,39.5,37.2,33.1,44.4,41.9,39.7,38.7,43.5,34.4,39.3,42.7,37.7,45.5
b=0.3375,38.7,35.1,37.2,39.0,35.9,38.6,40.4,39.3,38.6,41.5,39.4,38.0,39.8,42.0,40.8,40.4,42.4,42.1,39.5,41.8,38.4,36.4,38.6,43.4,40.6,41.8,39.5,37.1,33.3,44.2,41.7,39.7,38.7,43.3,34.5,39.1,42.5,37.9,45.4
