group,random,direct 0,channel 0,channel 0 GPT-J,direct multi-0,channel multi-0,SL-(S)-meta,SL-(S)-meta-ens,SL-(S)-meta-wens,SL-reg-(S)-meta,SL-reg-(S)-meta-ens,SL-reg-(S)-meta-wens,adapter-(S)-meta,SL-(M)-meta,SL-(M)-meta-ens,SL-(M)-meta-wens,SL-reg-(M)-meta,SL-reg-(M)-meta-ens,SL-reg-(M)-meta-wens,adapter-(M)-meta,SL,SL-ens,SL-wens,SL-meta,SL-meta-ens,SL-meta-wens,SL-reg,SL-reg-ens,SL-reg-wens,SL-reg-meta,SL-reg-meta-ens,SL-reg-meta-wens,adapter,adapter-meta,direct ICL,channel ICL,channel ICL GPT-J,direct MetaICL,channel MetaICL
0,39.2,32.7,35.5,35.0,37.0,39.9,43.9,41.5,40.1,44.2,41.3,39.4,43.4,45.7,43.8,43.4,46.8,46.0,41.3,45.6,43.0,38.6,40.3,48.1,43.8,46.2,42.7,39.7,33.0,49.5,45.6,42.2,41.1,48.9,34.0,41.0,44.6,39.6,48.3
1,38.7,34.3,36.5,37.7,39.0,39.2,42.8,41.5,40.9,43.6,41.7,40.8,41.2,43.8,42.6,42.7,44.9,44.8,42.3,42.8,40.5,38.2,40.6,47.2,43.9,45.5,41.3,38.8,35.1,48.0,45.3,42.8,41.0,46.6,35.2,37.9,42.0,40.9,42.8
2,38.4,38.4,37.9,39.2,36.3,37.4,41.6,40.0,37.8,42.8,39.6,35.3,40.6,43.5,42.0,42.2,43.0,42.9,40.7,43.0,42.0,39.1,41.7,44.8,40.9,43.5,41.0,38.3,33.6,46.7,43.1,41.9,39.5,45.1,38.0,39.3,42.7,37.2,47.2
3,38.1,40.1,33.4,35.8,41.6,34.8,42.6,42.9,42.9,43.2,42.8,42.0,41.4,42.7,43.6,42.9,42.4,43.5,42.7,43.8,38.8,36.6,41.0,45.1,43.6,43.7,41.2,37.3,37.2,44.7,43.7,44.9,38.8,44.7,39.5,33.8,41.8,42.4,48.8
4,38.1,38.0,37.8,39.5,35.2,35.2,40.2,40.1,38.7,40.9,40.7,38.2,38.2,40.7,39.6,40.0,39.6,40.1,39.4,40.3,36.2,33.3,35.8,41.5,39.9,39.5,35.2,32.3,32.4,40.7,39.7,39.3,35.4,39.6,36.2,37.7,40.4,38.9,44.1
