group,random,direct 0,channel 0,channel 0 GPT-J,direct multi-0,channel multi-0,SL-(S)-meta,SL-(S)-meta-ens,SL-(S)-meta-wens,SL-reg-(S)-meta,SL-reg-(S)-meta-ens,SL-reg-(S)-meta-wens,adapter-(S)-meta,SL-(M)-meta,SL-(M)-meta-ens,SL-(M)-meta-wens,SL-reg-(M)-meta,SL-reg-(M)-meta-ens,SL-reg-(M)-meta-wens,adapter-(M)-meta,SL,SL-ens,SL-wens,SL-meta,SL-meta-ens,SL-meta-wens,SL-reg,SL-reg-ens,SL-reg-wens,SL-reg-meta,SL-reg-meta-ens,SL-reg-meta-wens,adapter,adapter-meta,direct ICL,channel ICL,channel ICL GPT-J,direct MetaICL,channel MetaICL
b=8.,39.0,35.1,37.7,42.2,38.5,38.0,46.6,44.3,43.5,45.9,43.8,42.6,46.3,46.1,44.7,44.1,45.7,46.2,42.3,45.9,42.3,38.8,41.5,49.4,44.8,47.3,41.8,37.4,33.7,50.3,47.3,44.7,42.1,48.6,35.4,40.2,44.2,42.2,49.0
b=4.,39.0,35.0,37.6,41.9,38.7,38.3,46.6,44.4,43.6,46.0,43.9,42.6,46.3,46.3,44.8,44.3,45.9,46.3,42.5,46.0,42.4,38.8,41.4,49.4,44.9,47.4,41.7,37.5,33.8,50.3,47.4,44.7,42.1,48.7,35.3,40.1,44.2,42.3,49.2
b=2.,38.8,34.9,36.9,40.7,39.1,38.8,46.3,44.3,43.4,46.1,43.8,42.5,45.8,46.3,44.7,44.4,46.0,46.3,42.7,46.0,42.2,38.5,40.9,48.9,44.8,47.0,41.3,37.5,34.1,49.8,47.0,44.3,41.8,48.4,35.2,39.7,44.0,41.9,49.3
b=1.,38.7,35.1,36.1,39.2,39.2,38.8,45.0,43.6,42.7,45.4,43.3,41.9,44.3,45.6,43.9,43.8,45.3,45.3,42.2,45.2,41.4,37.9,40.2,47.6,44.2,46.0,40.7,37.5,34.5,48.5,46.0,43.4,40.7,47.4,35.3,39.4,43.6,41.0,48.7
b=0.5,38.6,35.5,35.7,38.5,39.1,38.7,44.0,43.0,42.0,44.7,42.8,41.4,43.3,44.9,43.2,43.2,44.7,44.5,41.8,44.5,40.7,37.5,39.9,46.7,43.7,45.2,40.4,37.4,34.7,47.6,45.2,42.8,39.9,46.6,35.6,39.3,43.4,40.4,48.2
b=0.25,38.5,35.7,35.5,38.2,39.1,38.6,43.6,42.7,41.7,44.3,42.5,41.2,42.8,44.5,42.8,42.9,44.3,44.0,41.5,44.1,40.4,37.3,39.8,46.3,43.4,44.9,40.3,37.4,34.8,47.2,44.9,42.6,39.6,46.2,35.7,39.2,43.3,40.1,47.9
