group,random,direct 0,channel 0,channel 0 GPT-J,direct multi-0,channel multi-0,SL-(S)-meta,SL-(S)-meta-ens,SL-(S)-meta-wens,SL-reg-(S)-meta,SL-reg-(S)-meta-ens,SL-reg-(S)-meta-wens,SL-(M)-meta,SL-(M)-meta-ens,SL-(M)-meta-wens,SL-reg-(M)-meta,SL-reg-(M)-meta-ens,SL-reg-(M)-meta-wens,SL,SL-ens,SL-wens,SL-meta,SL-meta-ens,SL-meta-wens,SL-reg,SL-reg-ens,SL-reg-wens,SL-reg-meta,SL-reg-meta-ens,SL-reg-meta-wens,adapter,adapter-meta,direct ICL,channel ICL,channel ICL GPT-J,direct MetaICL,channel MetaICL
b=5.2,38.1,35.4,36.5,38.2,35.4,36.1,48.6,46.8,46.3,52.5,46.6,41.8,54.1,49.2,50.4,53.8,53.6,48.1,46.4,43.0,44.9,54.3,47.8,51.9,44.7,41.1,34.5,56.3,50.2,43.5,45.2,56.9,37.1,40.9,46.4,39.6,49.8
b=2.6,38.2,35.3,36.3,38.2,36.0,37.0,48.4,46.5,45.7,51.8,46.2,41.8,53.0,48.8,49.5,53.0,52.5,47.2,46.2,42.8,44.4,53.9,47.5,51.2,45.0,41.4,34.6,55.2,49.7,43.8,45.2,56.1,37.1,41.2,46.5,40.1,49.8
b=1.3,38.3,35.9,36.3,38.4,37.4,38.5,47.1,45.1,44.0,49.1,44.7,41.6,49.8,47.0,46.9,50.0,49.1,44.7,44.7,41.6,43.3,51.9,46.5,49.3,44.6,41.4,34.9,52.5,48.2,44.0,44.3,53.2,37.0,41.2,46.0,41.3,48.7
b=0.65,38.4,36.5,36.8,39.2,38.3,39.4,44.9,43.3,42.3,46.1,43.0,41.1,46.5,44.5,44.5,46.6,45.9,42.8,42.3,39.7,41.5,49.0,44.8,46.8,42.8,40.1,34.8,49.4,46.2,43.4,42.1,49.3,36.5,40.5,45.1,41.4,47.4
b=0.325,38.4,36.7,37.0,39.5,38.5,39.8,43.7,42.5,41.6,44.7,42.2,40.8,44.9,43.1,43.4,45.0,44.4,42.0,40.9,38.6,40.4,47.3,43.8,45.4,41.6,39.2,34.6,47.7,45.0,42.8,40.7,47.3,36.1,39.9,44.5,41.1,46.9
b=0.1625,38.4,36.7,37.1,39.7,38.5,39.9,43.1,42.1,41.3,44.0,41.8,40.6,44.1,42.5,42.9,44.2,43.8,41.7,40.3,38.1,40.0,46.5,43.3,44.8,41.0,38.7,34.5,46.9,44.5,42.5,40.1,46.5,35.9,39.6,44.3,40.8,46.7
